iter	Passed	Remaining
156	1425	7656
157	1428	7612
158	1431	7571
159	1434	7531
160	1436	7485
161	1438	7442
162	1441	7399
163	1443	7358
164	1448	7328
165	1450	7288
166	1453	7248
167	1455	7208
168	1458	7171
169	1463	7143
170	1465	7104
171	1467	7066
172	1470	7029
173	1473	6993
174	1480	6980
175	1484	6952
176	1487	6917
177	1490	6883
178	1493	6850
179	1496	6816
180	1498	6780
181	1500	6746
182	1503	6711
183	1506	6680
184	1510	6654
185	1513	6621
186	1515	6590
187	1518	6558
188	1524	6541
189	1527	6510
190	1530	6480
191	1533	6454
192	1540	6440
193	1543	6411
194	1545	6381
195	1548	6350
196	1553	6331
197	1555	6302
198	1558	6273
199	1561	6244
200	1563	6216
201	1566	6189
202	1569	6162
203	1572	6134
204	1574	6107
205	1577	6079
206	1580	6054
207	1583	6031
208	1586	6004
209	1588	5976
210	1591	5950
211	1594	5925
212	1596	5899
213	1599	5875
214	1602	5849
215	1604	5824
216	1607	5799
217	1609	5774
218	1613	5752
219	1615	5728
220	1618	5703
221	1620	5678
222	1622	5654
223	1625	5630
224	1628	5609
225	1631	5586
226	1634	5564
227	1636	5541
228	1640	5523
229	1644	5505
230	1647	5482
231	1649	5461
232	1652	5440
233	1655	5419
234	1658	5399
235	1661	5378
236	1663	5356
237	1666	5336
238	1670	5317
239	1673	5299
240	1676	5278
241	1678	5257
242	1681	5236
243	1683	5216
244	1686	5195
245	1689	5178
246	1692	5158
247	1694	5138
248	1697	5118
249	1699	5098
250	1704	5086
251	1707	5068
252	1709	5048
253	1712	5028
254	1714	5009
255	1718	4993
256	1720	4975
257	1723	4956
258	1725	4937
259	1728	4920
260	1731	4901
261	1734	4885
262	1736	4867
263	1739	4850
264	1742	4831
265	1744	4814
266	1747	4797
267	1750	4780
268	1753	4765
269	1756	4748
270	1758	4731
271	1761	4715
272	1765	4700
273	1768	4684
274	1770	4668
275	1772	4650
276	1775	4633
277	1778	4618
278	1780	4602
279	1783	4585
280	1785	4568
281	1788	4552
282	1790	4536
283	1792	4520
284	1795	4504
285	1797	4488
286	1800	4472
287	1805	4462
288	1809	4451
289	1811	4435
290	1814	4421
291	1817	4406
292	1820	4391
293	1824	4380
294	1826	4365
295	1829	4350
296	1831	4334
297	1833	4318
298	1837	4308
299	1840	4295
300	1844	4282
301	1846	4268
302	1849	4255
303	1855	4247
304	1858	4235
305	1862	4224
306	1868	4218
307	1872	4206
308	1877	4198
309	1880	4185
310	1885	4178
311	1888	4164
312	1891	4151
313	1895	4140
314	1899	4130
315	1903	4119
316	1906	4108
317	1909	4094
318	1912	4083
319	1916	4071
320	1918	4058
321	1921	4045
322	1923	4032
323	1930	4027
324	1933	4015
325	1935	4002
326	1939	3991
327	1942	3979
328	1950	3978
329	1954	3967
330	1960	3963
331	1965	3954
332	1968	3942
333	1970	3930
334	1973	3917
335	1976	3906
336	1979	3893
337	1981	3880
338	1984	3868
339	1986	3856
340	1990	3846
341	1993	3835
342	1995	3822
343	1998	3811
344	2001	3799
345	2004	3788
346	2007	3777
347	2009	3765
348	2012	3753
349	2014	3741
350	2017	3729
351	2020	3718
352	2022	3707
353	2025	3696
354	2028	3685
355	2031	3675
356	2035	3665
357	2039	3656
358	2043	3648
359	2046	3638
360	2049	3628
361	2052	3617
362	2054	3605
363	2057	3594
364	2060	3584
365	2062	3572
366	2067	3566
367	2070	3555
368	2072	3544
369	2075	3534
370	2078	3524
371	2082	3514
372	2084	3504
373	2087	3493
374	2089	3483
375	2092	3472
376	2095	3463
377	2098	3452
378	2100	3442
379	2103	3431
380	2105	3421
381	2108	3410
382	2111	3401
383	2114	3391
384	2116	3381
385	2119	3371
386	2122	3362
387	2126	3353
388	2129	3344
389	2131	3334
390	2134	3324
391	2137	3314
392	2141	3307
393	2144	3297
394	2146	3287
395	2149	3277
396	2151	3267
397	2154	3258
398	2157	3249
399	2159	3239
400	2162	3229
401	2164	3219
402	2166	3209
403	2169	3200
404	2172	3192
405	2175	3183
406	2178	3174
407	2181	3164
408	2184	3156
409	2188	3148
410	2190	3139
411	2192	3129
412	2195	3120
413	2197	3110
414	2203	3105
415	2205	3096
416	2208	3087
417	2210	3078
418	2213	3069
419	2217	3062
420	2220	3054
421	2223	3045
422	2225	3036
423	2228	3027
424	2231	3019
425	2234	3010
426	2236	3001
427	2239	2992
428	2241	2984
429	2244	2975
430	2247	2967
431	2250	2958
432	2252	2950
433	2255	2941
434	2258	2932
435	2260	2923
436	2263	2916
437	2266	2907
438	2268	2899
439	2271	2890
440	2273	2882
441	2279	2877
442	2281	2868
443	2283	2859
444	2286	2851
445	2291	2845
446	2294	2838
447	2297	2830
448	2299	2822
449	2302	2814
450	2305	2806
451	2308	2798
452	2311	2791
453	2313	2782
454	2316	2774
455	2318	2766
456	2321	2758
457	2324	2750
458	2327	2743
459	2329	2735
460	2332	2727
461	2335	2719
462	2338	2712
463	2340	2704
464	2343	2696
465	2345	2687
466	2348	2680
467	2351	2672
468	2354	2665
469	2357	2657
470	2359	2650
471	2361	2642
472	2364	2634
473	2369	2629
474	2372	2621
475	2374	2613
476	2376	2606
477	2379	2598
478	2382	2591
479	2385	2584
480	2388	2577
481	2391	2569
482	2393	2561
483	2396	2554
484	2399	2547
485	2401	2540
486	2404	2532
487	2406	2525
488	2412	2520
489	2415	2513
490	2418	2506
491	2420	2499
492	2428	2497
493	2431	2490
494	2434	2483
495	2437	2476
496	2439	2468
497	2443	2463
498	2446	2455
499	2448	2448
500	2451	2441
501	2456	2437
502	2459	2429
503	2461	2422
504	2464	2415
505	2467	2408
506	2470	2402
507	2472	2394
508	2475	2387
509	2478	2380
510	2480	2373
511	2482	2366
512	2486	2360
513	2488	2353
514	2491	2346
515	2493	2339
516	2496	2332
517	2500	2326
518	2502	2319
519	2505	2313
520	2508	2306
521	2510	2299
522	2515	2294
523	2518	2287
524	2520	2280
525	2523	2273
526	2525	2266
527	2528	2260
528	2531	2254
529	2534	2247
530	2537	2240
531	2539	2233
532	2541	2227
533	2545	2221
534	2548	2214
535	2550	2208
536	2552	2201
537	2555	2194
538	2558	2188
539	2561	2181
540	2563	2175
541	2566	2168
542	2568	2162
543	2571	2155
544	2574	2149
545	2577	2143
546	2580	2136
547	2582	2130
548	2585	2123
549	2587	2117
550	2590	2111
551	2593	2104
552	2595	2098
553	2598	2091
554	2601	2085
555	2605	2080
556	2609	2075
557	2611	2068
558	2614	2062
559	2617	2056
560	2620	2050
561	2623	2044
562	2625	2037
563	2627	2031
564	2630	2025
565	2632	2018
566	2636	2013
567	2638	2006
568	2641	2000
569	2643	1994
570	2645	1987
571	2649	1982
572	2651	1976
573	2654	1969
574	2657	1964
575	2659	1957
576	2662	1952
577	2668	1948
578	2670	1942
579	2673	1935
580	2675	1929
581	2679	1924
582	2683	1919
583	2685	1913
584	2688	1907
585	2690	1901
586	2693	1894
587	2696	1889
588	2699	1883
589	2701	1877
590	2703	1871
591	2706	1865
592	2710	1860
593	2713	1854
594	2715	1848
595	2717	1842
596	2720	1836
597	2723	1830
598	2726	1825
599	2729	1819
600	2731	1813
601	2733	1807
602	2736	1801
603	2739	1796
604	2742	1790
605	2745	1784
606	2747	1778
607	2750	1773
608	2753	1767
609	2757	1762
610	2759	1757
611	2762	1751
612	2765	1745
613	2767	1739
614	2771	1734
615	2773	1728
616	2776	1723
617	2778	1717
618	2781	1711
619	2784	1706
620	2787	1701
621	2790	1695
622	2793	1690
623	2795	1684
624	2798	1678
625	2801	1673
626	2804	1668
627	2806	1662
628	2809	1657
629	2812	1651
630	2816	1647
631	2819	1641
632	2822	1636
633	2824	1630
634	2827	1625
635	2830	1619
636	2833	1614
637	2836	1609
638	2838	1603
639	2841	1598
640	2845	1593
641	2848	1588
642	2851	1583
643	2854	1577
644	2856	1572
645	2858	1566
646	2862	1561
647	2864	1556
648	2867	1550
649	2869	1545
650	2872	1539
651	2875	1534
652	2877	1529
653	2880	1523
654	2883	1518
655	2886	1513
656	2888	1508
657	2893	1503
658	2895	1498
659	2898	1493
660	2901	1487
661	2904	1482
662	2907	1477
663	2910	1472
664	2913	1467
665	2916	1462
666	2918	1457
667	2921	1452
668	2924	1446
669	2927	1441
670	2929	1436
671	2931	1431
672	2934	1425
673	2938	1421
674	2940	1415
675	2943	1411
676	2946	1405
677	2948	1400
678	2952	1395
679	2955	1390
680	2957	1385
681	2960	1380
682	2963	1375
683	2965	1370
684	2968	1365
685	2971	1360
686	2974	1355
687	2976	1349
688	2979	1344
689	2982	1339
690	2986	1335
691	2988	1330
692	2991	1325
693	2994	1320
694	2998	1315
695	3001	1310
696	3003	1305
697	3006	1300
698	3009	1295
699	3012	1291
700	3014	1285
701	3017	1280
702	3020	1275
703	3022	1270
704	3025	1265
705	3028	1261
706	3031	1256
707	3035	1251
708	3037	1246
709	3040	1241
710	3043	1236
711	3045	1231
712	3048	1227
713	3051	1222
714	3053	1217
715	3055	1212
716	3058	1207
717	3061	1202
718	3064	1197
719	3067	1192
720	3073	1189
721	3076	1184
722	3079	1179
723	3082	1175
724	3084	1170
725	3089	1165
726	3092	1161
727	3094	1156
728	3097	1151
729	3099	1146
730	3103	1141
731	3106	1137
732	3108	1132
733	3110	1127
734	3113	1122
735	3116	1117
736	3119	1113
737	3122	1108
738	3124	1103
739	3127	1098
740	3129	1093
741	3134	1089
742	3137	1085
743	3139	1080
744	3142	1075
745	3144	1070
746	3149	1066
747	3152	1062
748	3154	1057
749	3157	1052
750	3160	1047
751	3166	1044
752	3169	1039
753	3171	1034
754	3173	1029
755	3177	1025
756	3180	1020
757	3183	1016
758	3185	1011
759	3188	1006
760	3195	1003
761	3198	998
762	3201	994
763	3204	989
764	3207	985
765	3211	980
766	3214	976
767	3217	971
768	3221	967
769	3225	963
770	3228	959
771	3232	954
772	3235	950
773	3244	947
774	3246	942
775	3251	938
776	3258	935
777	3261	930
778	3265	926
779	3268	921
780	3272	917
781	3278	913
782	3282	909
783	3285	905
784	3291	901
785	3295	897
786	3299	892
787	3303	888
788	3308	884
789	3311	880
790	3314	875
791	3318	871
792	3322	867
793	3325	862
794	3328	858
795	3332	854
796	3337	849
797	3341	845
798	3344	841
799	3349	837
800	3353	833
801	3357	828
802	3360	824
803	3364	820
804	3368	815
805	3372	811
806	3375	807
807	3379	803
808	3383	798
809	3386	794
810	3389	789
811	3402	787
812	3406	783
813	3412	779
814	3417	775
815	3423	771
816	3426	767
817	3430	763
818	3434	759
819	3438	754
820	3444	750
821	3447	746
822	3450	742
823	3455	738
824	3461	734
825	3466	730
826	3470	725
827	3473	721
828	3478	717
829	3480	712
830	3485	708
831	3489	704
832	3494	700
833	3498	696
834	3503	692
835	3506	687
836	3510	683
837	3514	679
838	3519	675
839	3522	670
840	3526	666
841	3532	662
842	3535	658
843	3538	654
844	3541	649
845	3544	645
846	3549	641
847	3551	636
848	3554	632
849	3558	627
850	3562	623
851	3568	619
852	3570	615
853	3573	610
854	3576	606
855	3579	602
856	3582	597
857	3585	593
858	3591	589
859	3594	585
860	3604	581
861	3608	577
862	3611	573
863	3614	568
864	3617	564
865	3622	560
866	3630	556
867	3634	552
868	3639	548
869	3643	544
870	3647	540
871	3651	535
872	3655	531
873	3659	527
874	3663	523
875	3668	519
876	3674	515
877	3677	511
878	3681	506
879	3685	502
880	3690	498
881	3694	494
882	3699	490
883	3703	485
884	3706	481
885	3716	478
886	3720	473
887	3723	469
888	3726	465
889	3730	461
890	3733	456
891	3736	452
892	3739	448
893	3742	443
894	3745	439
895	3751	435
896	3753	431
897	3758	426
898	3766	423
899	3776	419
900	3780	415
901	3783	411
902	3789	407
903	3793	402
904	3797	398
905	3800	394
906	3806	390
907	3825	387
908	3828	383
909	3834	379
910	3837	374
911	3840	370
912	3843	366
913	3848	362
914	3853	357
915	3856	353
916	3860	349
917	3865	345
918	3872	341
919	3875	337
920	3883	333
921	3887	328
922	3889	324
923	3894	320
924	3900	316
925	3903	311
926	3906	307
927	3915	303
928	3917	299
929	3920	295
930	3927	291
931	3931	286
932	3933	282
933	3937	278
934	3947	274
935	3951	270
936	3956	265
937	3961	261
938	3965	257
939	3967	253
940	3972	249
941	3976	244
942	3979	240
943	3982	236
944	3987	232
945	3990	227
946	3994	223
947	3996	219
948	3999	214
949	4002	210
950	4007	206
951	4010	202
952	4012	197
953	4017	193
954	4021	189
955	4025	185
956	4029	181
957	4035	176
958	4040	172
959	4043	168
960	4046	164
961	4050	160
962	4054	155
963	4057	151
964	4060	147
965	4066	143
966	4069	138
967	4072	134
968	4075	130
969	4079	126
970	4083	121
971	4086	117
972	4089	113
973	4092	109
974	4096	105
975	4100	100
976	4103	96
977	4107	92
978	4111	88
979	4114	83
980	4118	79
981	4122	75
982	4126	71
983	4129	67
984	4132	62
985	4135	58
986	4140	54
987	4143	50
988	4146	46
989	4150	41
990	4153	37
991	4156	33
992	4159	29
993	4162	25
994	4165	20
995	4168	16
996	4171	12
997	4173	8
998	4176	4
999	4179	0
